#;Kode;PST;GI/Penghantar;Functloc;ID;SID;Merk;Type;Volt;Phasa;Penempatan;Line;Ket.;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
17;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7B2 DIAMETER#2 500kV;TO351816916900000006;35614300/03/22;GE;MICOM P14D;500;RST;7B2;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
18;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A3 DIAMETER#3 500kV;TO351816916900000007;35614309/03/22;GE;MICOM P14D;500;RST;7A3;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
19;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB3 DIAMETER#3 500kV;TO351816916900000008;35614301/03/22;GE;MICOM P14D;500;RST;7AB3;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
20;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A4 DIAMETER#4 500kV;TO351816916900000009;35614307/03/22;GE;MICOM P14D;500;RST;7A4;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
21;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB4 DIAMETER#4 500kV;TO351816916900000010;35614302/03/22;GE;MICOM P14D;500;RST;7AB4;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
22;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7B4 DIAMETER#4 500kV;TO351816916900000011;35614299/03/22;GE;MICOM P14D;500;RST;7B4;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
23;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A5 DIAMETER#5 500kV;TO351816916900000012;35614308/03/22;GE;MICOM P14D;500;RST;7A5;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
24;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7AB5 DIAMETER#5 500kV;TO351816916900000013;35614298/03/22;GE;MICOM P14D;500;RST;7AB5;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
25;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7B5 DIAMETER#5 500kV;TO351816916900000014;35614303/03/22;GE;MICOM P14D;500;RST;7B5;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
26;TO;CB Failure (50 BF)+Short Zone Protection (51 SZP);GITET 500KV MUARATAWAR;7A7 DIAMETER#7 500kV;TO351816916900000254;1MRB1500821R1/D;ABB;REB 500;500;RST;CU CBF DIAMETER 7, 8, 9, 10, 13, 14;-;Update Data 30 Maret 2023 CB Failure (50 BF) Short Zone MPUtection (87 CZP);-;-;NUMERIK;-;-;-;-;-
27;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV CAWANG;CU351416916900000245;I1134060;ABB;RED-670;500;RST;MAIN A;-;Update Data 30 Maret 2023 # Line Current Differential (87L) + Distance (21);-;-;NUMERIK;-;-;-;-;-
28;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV CAWANG;CU351416916900000246;I1134059;ABB;RED 670;500;RST;MAIN B;-;Update Data 30 Maret 2023 Line Current Differential (87L) Distance (21);-;-;NUMERIK;-;-;-;-;-
29;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV SUKATANI#2;CU351416916900000247;9YV00103FM0001;TOSHIBA;GRL-200;500;RST;MAIN A;-;Update Data 30 Maret 2023 Line Current Differential (87L) Distance (21) (EX Sukatani 2 Diameter 5);-;-;NUMERIK;-;-;-;-;-
30;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV SUKATANI#2;CU351416916900000248;NRJB2015511630140;NR;PCS-931;500;RST;MAIN B;-;Update Data 30 Maret 2023 Line Current Differential (87L) Distance (21) (EX SUKATANI 2 DIAMETER 5);-;-;NUMERIK;-;-;-;-;-
31;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV NEW TAMBUN;TL351816916900000249;31998229/12/11;SIEMENS;SIMPUTEC 7SL87;500;RST;MAIN A;-;Update Data 30 Maret 2023 # Line Current Differential (87L) + Distance (21);-;-;NUMERIK;-;-;-;-;-
32;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV NEW TAMBUN;TL351816916900000250;BF1102103567;TOSHIBA;GRL-200;500;RST;Main B;-;Update Data 30 Maret 2023 # Line Current Differential (87L) + Distance (21);-;-;NUMERIK;-;-;-;-;-
33;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV SUKATANI#1;TL351816916900000251;34946791/12/19;ALSTOM;MICOM P546;500;RST;MAIN A;-;Update Data 30 Maret 2023 # Line Current Differential (87L) + Distance (21);-;-;NUMERIK;-;-;-;-;-
34;TL;Line Current Differential (87L) + Distance (21);GITET 500KV MUARATAWAR;PHT 500kV SUKATANI#1;TL351816916900000252;T1950145;ABB;RED 670;500;RST;MAIN B;-;Update Data 30 Maret 2023 Line Current Differential (87L) Distance (21)(EX SUKATANI 1 DIAMETER 4);-;-;NUMERIK;-;-;-;-;-
35;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR A 500kV;TJ351416916900000245;8888;ABB;SU91AVAR235;500;RST;BUSBAR A - MAIN B;-;Update Data 30 Maret 2023 Busbar Differential (87B);-;-;ELEKTROSTATIK;-;-;-;-;-
36;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR B 500kV;TJ351416916900000246;N/A;ABB;SU91A VAR 235;500;RST;BUSBAR B - MAIN B;-;Update Data 30 Maret 2023 # Busbar Differential (87B);-;-;ELEKTROSTATIK;-;-;-;-;-
37;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR A 500kV;TJ351816916900000246;-;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
38;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR B 500kV;TJ351816916900000247;-;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
39;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR A 500kV;TJ351816916900000248;2;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
40;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR A 500kV;TJ351816916900000249;3;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
41;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR B 500kV;TJ351816916900000250;2;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
42;TJ;Busbar Differential (87B);GITET 500KV MUARATAWAR;BUSBAR B 500kV;TJ351816916900000251;3;GE;MICOM P746;500;RSTN;PANEL PROTEKSI;-;Busbar Differential (87B) MAIN A;-;-;NUMERIK;-;-;-;-;-
43;RS;Repair Sleeve;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0042;RS351816926900000001;N/A;N/A;N/A;-;-;REPAIR SLEEVE;TRS 500kV MUARATAWAR-SUKATANI#2;-;-;-;-;-;-;-;-;-
44;RS;Repair Sleeve;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0042;RS351816926900000002;N/A;N/A;N/A;-;-;REPAIR SLEEVE;TRS 500kV MUARATAWAR-SUKATANI#2;-;-;-;-;-;-;-;-;-
45;RS;Repair Sleeve;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0042;RS351816926900000003;N/A;N/A;N/A;-;-;REPAIR SLEEVE;TRS 500kV MUARATAWAR-SUKATANI#2;-;-;-;-;-;-;-;-;-
46;RS;Repair Sleeve;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0042;RS351816926900000004;N/A;N/A;N/A;-;-;REPAIR SLEEVE;TRS 500kV MUARATAWAR-SUKATANI#2;-;-;-;-;-;-;-;-;-
47;PQ;Power Quality Meter;GITET 500KV MUARATAWAR;GT#1.1/1.2;PQ351816916900000001;MJ-1711A180-05;SCHNEIDER;ION 7650;500;RST;BAY PEMBANGKIT;-;operasi;-;-;NUMERIK;-;-;-;-;-
48;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816926900000001;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
49;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816926900000002;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
50;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816926900000003;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
51;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816926900000004;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
52;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816926900000005;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
53;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816926900000006;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
54;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0014;MJ351816926900000007;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
55;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0014;MJ351816926900000008;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
56;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0014;MJ351816926900000009;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
57;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816927900000010;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
58;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816928900000011;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
59;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816929900000012;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
60;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816930900000013;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
61;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816931900000014;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
62;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816932900000015;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
63;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816933900000016;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
64;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816934900000017;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
65;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816935900000018;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
66;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816936900000019;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
67;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816937900000020;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
68;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816938900000021;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
69;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816939900000022;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
70;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816940900000023;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
71;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816941900000024;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
72;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816942900000025;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
73;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816943900000026;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
74;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816944900000027;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
75;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816945900000028;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
76;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816946900000029;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
77;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0005;MJ351816947900000030;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
78;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816948900000031;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
79;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816949900000032;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
80;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816950900000033;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
81;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816951900000034;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
82;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816952900000035;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
83;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816953900000036;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
84;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816954900000037;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
85;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816955900000038;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
86;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816956900000039;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #1;-;-;-;-;-;-;-;-;-
87;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816957900000040;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
88;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816958900000041;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
89;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816959900000042;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
90;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816960900000043;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
91;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816961900000044;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
92;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816962900000045;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
93;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816963900000046;N/A;-;N/A;500;R;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
94;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816964900000047;N/A;-;N/A;500;S;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
95;MJ;Midspan Joint;TRS 500kV MUARATAWAR-SUKATANI;SPAN SUTET 500kV MRTWR-SKTNI #0009;MJ351816965900000048;N/A;-;N/A;500;T;-;TRS 150kV MUARATAWAR-SUKATANI #2;-;-;-;-;-;-;-;-;-
